"UTC","SCLOCK_Full","ET","OrbitNumber","Seconds","Subseconds","Spin","SpinTime","SpinPeriod","SpinPhase","MagPhase","Mag0Second1","Mag0Subsecond1","Mag0Second2","Mag0Subsecond2","IntegrationSectors","IntegrationMultiplier1","IntegrationMultiplier2","IntegrationSpins","MagPhaseValid","MagDataValid","SpinDataValid","ElectronPixel","IonEnergyPixel","IonSpeciesPixel","Subsector1","Subsector2","Subsector3","SpinDuration"
"2013-006T00:00:02.233","1/95126404:5699",410702469.416703,344,95126404,7471,19356,95126405,34009,5334,9655,122,131,111,148,2,2,1,10,"True","True","True","True","True","True",1,0,0,10883
"2013-006T00:00:13.116","1/95126414:49849",410702480.299703,344,95126414,65339,19357,95126415,34009,12,9631,133,112,122,131,2,2,1,10,"True","True","True","True","True","True",1,0,0,10882
"2013-006T00:00:23.998","1/95126425:43949",410702491.181702,344,95126425,57606,19358,95126426,34009,718,9690,144,95,133,112,2,2,1,10,"True","True","True","True","True","True",1,0,0,10884
"2013-006T00:00:34.883","1/95126436:38199",410702502.066701,344,95126436,50069,19359,95126437,34009,1423,9615,155,75,144,95,2,2,1,10,"True","True","True","True","True","True",1,0,0,10881
"2013-006T00:00:45.765","1/95126447:32299",410702512.9487,344,95126447,42336,19360,95126448,34009,2128,9674,166,58,155,75,2,2,1,10,"True","True","True","True","True","True",1,0,0,10882
"2013-006T00:00:56.647","1/95126458:26399",410702523.830699,344,95126458,34603,19361,95126459,34009,2833,9655,177,39,166,58,2,2,1,10,"True","True","True","True","True","True",1,0,0,10883
"2013-006T00:01:07.531","1/95126469:20599",410702534.714698,344,95126469,27000,19362,95126470,34009,3538,9702,188,22,177,39,2,2,1,10,"True","True","True","True","True","True",1,0,0,10882
"2013-006T00:01:18.413","1/95126480:14699",410702545.596697,344,95126480,19267,19363,95126481,34009,4249,9645,199,2,188,22,2,2,1,10,"True","True","True","True","True","True",1,0,0,10883
"2013-006T00:01:29.296","1/95126491:8849",410702556.479696,344,95126491,11599,19364,95126492,34009,4954,9660,209,141,199,2,2,2,1,10,"True","True","True","True","True","True",1,0,0,10883
"2013-006T00:01:40.179","1/95126502:2999",410702567.362696,344,95126502,3932,19365,95126503,34009,5659,9635,220,122,209,141,2,2,1,10,"True","True","True","True","True","True",1,0,0,10882
"2013-006T00:01:51.061","1/95126512:47099",410702578.244695,344,95126512,61734,19366,95126513,34009,337,9694,231,105,220,122,2,2,1,10,"True","True","True","True","True","True",1,0,0,10884
"2013-006T00:02:01.945","1/95126523:41299",410702589.128694,344,95126523,54132,19367,95126524,34009,1043,9625,242,85,231,105,2,2,1,10,"True","True","True","True","True","True",1,0,0,10883
"2013-006T00:02:12.829","1/95126534:35499",410702600.012693,344,95126534,46530,19368,95126535,34009,1748,9672,253,68,242,85,2,2,1,10,"True","True","True","True","True","True",1,0,0,10881
"2013-006T00:02:23.711","1/95126545:29599",410702610.894692,344,95126545,38797,19369,95126546,34009,2453,9615,8,48,253,68,2,2,1,10,"True","True","True","True","True","True",1,0,0,10882
"2013-006T00:02:34.593","1/95126556:23699",410702621.776691,344,95126556,31064,19370,95126557,34009,3158,9597,19,29,8,48,2,2,1,10,"True","True","True","True","True","True",1,0,0,10884
"2013-006T00:02:45.477","1/95126567:17899",410702632.66069,344,95126567,23461,19371,95126568,34009,3863,9644,30,12,19,29,2,2,1,10,"True","True","True","True","True","True",1,0,0,10883
"2013-006T00:02:56.360","1/95126578:12049",410702643.54369,344,95126578,15794,19372,95126579,34009,4574,9658,40,151,30,12,2,2,1,10,"True","True","True","True","True","True",1,0,0,10881
"2013-006T00:03:07.241","1/95126589:6099",410702654.424689,344,95126589,7995,19373,95126590,34009,5279,9607,51,131,40,151,2,2,1,10,"True","True","True","True","True","True",1,0,0,10884
"2013-006T00:03:18.126","1/95126600:349",410702665.309688,344,95126600,458,19374,95126600,34009,65493,9571,62,112,51,131,2,2,1,10,"True","True","True","True","True","True",1,0,0,10882
"2013-006T00:03:29.008","1/95126610:44449",410702676.191687,344,95126610,58261,19375,95126611,34009,662,9629,73,95,62,112,2,2,1,10,"True","True","True","True","True","True",1,0,0,10884
"2013-006T00:03:39.892","1/95126621:38649",410702687.075686,344,95126621,50659,19376,95126622,34009,1367,9561,84,75,73,95,2,2,1,10,"True","True","True","True","True","True",1,0,0,10881
