"UTC","SCLOCK_Full","ET","OrbitNumber","Seconds","Subseconds","Spin","SpinTime","SpinPeriod","SpinPhase","MagPhase","Mag0Second1","Mag0Subsecond1","Mag0Second2","Mag0Subsecond2","IntegrationSectors","IntegrationMultiplier1","IntegrationMultiplier2","IntegrationSpins","MagPhaseValid","MagDataValid","SpinDataValid","ElectronPixel","IonEnergyPixel","IonSpeciesPixel","Subsector1","Subsector2","Subsector3","SpinDuration"
"2012-303T00:00:00.700","1/89164801:37699",404740867.882114,160,89164801,49414,62424,89164802,34122,1471,52344,244,100,233,112,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-303T00:00:11.620","1/89164812:33699",404740878.802113,160,89164812,44171,62425,89164813,34122,1955,52365,255,88,244,100,2,2,1,10,"True","True","True","True","True","True",2,2,1,10917
"2012-303T00:00:22.538","1/89164823:29599",404740889.720111,160,89164823,38797,62426,89164824,34123,2439,52363,10,75,255,88,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-303T00:00:33.459","1/89164834:25649",404740900.64111,160,89164834,33619,62427,89164835,34123,2921,52378,21,63,10,75,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-303T00:00:44.378","1/89164845:21599",404740911.560109,160,89164845,28311,62428,89164846,34123,3403,52406,32,51,21,63,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-303T00:00:55.298","1/89164856:17599",404740922.480107,160,89164856,23068,62429,89164857,34123,3886,52427,43,39,32,51,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-303T00:01:06.217","1/89164867:13549",404740933.399106,160,89164867,17760,62430,89164868,34123,4296,52340,54,24,43,39,2,2,1,10,"True","True","True","True","True","True",2,2,1,10932
"2012-303T00:01:17.149","1/89164878:10149",404740944.331104,160,89164878,13303,62431,89164879,34123,4779,52289,65,12,54,24,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
"2012-303T00:01:28.069","1/89164889:6149",404740955.251103,160,89164889,8060,62432,89164890,34123,5264,52298,86,144,76,0,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-303T00:01:38.988","1/89164900:2099",404740966.170102,160,89164900,2752,62433,89164901,34122,5749,52325,97,132,86,144,2,2,1,10,"True","True","True","True","True","True",2,2,1,10917
"2012-303T00:01:49.905","1/89164910:47949",404740977.0871,160,89164910,62849,62434,89164911,34122,305,52337,97,132,86,144,2,2,1,10,"True","True","True","True","True","True",2,2,1,10909
"2012-303T00:02:00.814","1/89164921:43399",404740987.996099,160,89164921,56885,62435,89164922,34122,790,52386,108,119,97,132,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-303T00:02:11.733","1/89164932:39349",404740998.915097,160,89164932,51576,62436,89164933,34122,1277,52414,119,107,108,119,2,2,1,10,"True","True","True","True","True","True",2,2,1,10918
"2012-303T00:02:22.652","1/89164943:35299",404741009.834096,160,89164943,46268,62437,89164944,34121,1766,52362,130,93,119,107,2,2,1,10,"True","True","True","True","True","True",2,2,1,10917
"2012-303T00:02:33.569","1/89164954:31149",404741020.751095,160,89164954,40828,62438,89164955,34121,2254,52363,141,80,130,93,2,2,1,10,"True","True","True","True","True","True",2,2,1,10919
"2012-303T00:02:44.488","1/89164965:27099",404741031.670093,160,89164965,35520,62439,89164966,34121,2742,52391,152,68,141,80,2,2,1,10,"True","True","True","True","True","True",2,2,1,10920
